replicate_id,bigvgan_base_24khz_100band,bigvgan_v2_24khz_100band_256x,bridgevoc,comvo_base,comvo_large,flow2gan,freev,griffin_lim,hifigan_universal_v1,periodwave_24k,periodwave_turbo,rfwave_libritts_24k,rndvoc,vocos_mel_24khz,wavefm
35,70.84081268310547,72.36949920654297,74.59320831298828,72.41426849365234,69.7140884399414,75.30116271972656,64.65826416015625,79.28849792480469,65.51966857910156,65.12757873535156,72.46302032470703,63.43262481689453,76.11299896240234,74.62592315673828,66.04952239990234
36,70.766845703125,72.3731689453125,74.62873077392578,72.41939544677734,69.73689270019531,75.2750015258789,65.0163803100586,79.2242202758789,65.6017074584961,65.09580993652344,72.45844268798828,63.48698425292969,76.07743072509766,74.53974914550781,65.90950775146484
37,70.91175842285156,72.49435424804688,74.73088073730469,72.58053588867188,69.78977966308594,75.4312973022461,65.13238525390625,79.36458587646484,65.55938720703125,65.21694946289062,72.60061645507812,63.47620391845703,76.1917724609375,74.7371597290039,66.17887115478516
38,71.06446838378906,72.56763458251953,74.80182647705078,72.6920394897461,69.9267349243164,75.55980682373047,65.63533020019531,79.48587036132812,65.72152709960938,65.28807067871094,72.71630096435547,63.64369201660156,76.27184295654297,74.8241958618164,66.17230224609375
39,70.94329071044922,72.46098327636719,74.71552276611328,72.56243896484375,69.83065032958984,75.3560791015625,64.82933044433594,79.3859634399414,65.4747543334961,65.13813018798828,72.54740905761719,63.571556091308594,76.19477081298828,74.63706970214844,66.1441879272461
40,70.7168197631836,72.27924346923828,74.58047485351562,72.4163589477539,69.73640441894531,75.17918395996094,65.04389953613281,79.2665023803711,65.62252044677734,65.07825469970703,72.3471450805664,63.32331085205078,76.06951904296875,74.5526351928711,65.87862396240234
41,70.91344451904297,72.49080657958984,74.775390625,72.45196533203125,69.72122192382812,75.49418640136719,64.54159545898438,79.33101654052734,65.35011291503906,65.14224243164062,72.62971496582031,63.74484634399414,76.29949951171875,74.61497497558594,66.02606964111328
42,70.67281341552734,72.33097076416016,74.69424438476562,72.42449951171875,69.687255859375,75.21614074707031,63.909610748291016,79.46318817138672,65.0820083618164,65.00360107421875,72.35253143310547,63.52700424194336,76.29833221435547,74.5046615600586,66.0067138671875
43,70.80245971679688,72.45143127441406,74.7262954711914,72.49451446533203,69.72195434570312,75.33702087402344,64.31111145019531,79.40335845947266,65.48481750488281,65.14148712158203,72.49714660644531,63.54758071899414,76.26509857177734,74.65434265136719,66.12001037597656
44,70.75076293945312,72.40030670166016,74.67247772216797,72.53736114501953,69.77085876464844,75.2743911743164,65.11151885986328,79.37166595458984,65.40312194824219,65.11398315429688,72.46450805664062,63.60684967041016,76.11701965332031,74.56642150878906,66.02729797363281
45,71.0005111694336,72.59749603271484,74.81573486328125,72.64559936523438,69.90364074707031,75.58939361572266,64.92822265625,79.47952270507812,65.60063934326172,65.2683334350586,72.76993560791016,63.79031753540039,76.32963562011719,74.79270935058594,66.05669403076172
46,70.81163024902344,72.34345245361328,74.52711486816406,72.34170532226562,69.6499252319336,75.31059265136719,65.0919418334961,79.15324401855469,65.4527359008789,65.05013275146484,72.48381042480469,63.44826126098633,76.01004028320312,74.5404052734375,65.9778060913086
47,70.9035873413086,72.47913360595703,74.76629638671875,72.32522583007812,69.70085144042969,75.50834655761719,64.47657775878906,79.2624740600586,65.44085693359375,65.15418243408203,72.65601348876953,63.78108978271485,76.30906677246094,74.65509796142578,66.095458984375
48,70.84190368652344,72.34320068359375,74.58068084716797,72.37946319580078,69.65361022949219,75.3008041381836,64.51349639892578,79.09334564208984,65.47518157958984,65.04441833496094,72.46338653564453,63.59025955200195,76.07943725585938,74.52742767333984,65.95451354980469
49,71.03711700439453,72.52894592285156,74.81771850585938,72.71390533447266,69.89712524414062,75.54972076416016,65.43197631835938,79.42357635498047,65.74969482421875,65.24286651611328,72.70845031738281,63.71104049682617,76.283935546875,74.83628845214844,66.28294372558594
50,70.94281768798828,72.51278686523438,74.73676300048828,72.56299591064453,69.793212890625,75.48332214355469,64.99482727050781,79.32257080078125,65.60525512695312,65.20555877685547,72.64215087890625,63.74478530883789,76.25311279296875,74.694580078125,66.08792877197266
51,71.0846176147461,72.59757232666016,74.83607482910156,72.59491729736328,69.8688735961914,75.60844421386719,64.91554260253906,79.43364715576172,65.64535522460938,65.28861236572266,72.77546691894531,63.88722229003906,76.33123779296875,74.81005859375,66.29700469970703
52,70.5371322631836,72.02873229980469,74.38846588134766,72.18153381347656,69.53378295898438,74.94025421142578,64.25090026855469,79.01860046386719,65.29280090332031,64.87454223632812,72.1021957397461,63.41978454589844,75.96314239501953,74.23983764648438,65.71654510498047
53,70.6692123413086,72.38733673095703,74.6707534790039,72.41940307617188,69.65430450439453,75.31043243408203,64.4842300415039,79.29402923583984,65.16156768798828,64.94773864746094,72.46308135986328,63.62448501586914,76.18836975097656,74.42599487304688,65.96086883544922
54,71.01152801513672,72.55669403076172,74.79147338867188,72.60710144042969,69.88919830322266,75.54820251464844,65.56320190429688,79.40218353271484,65.76587677001953,65.23613739013672,72.7322006225586,63.68170166015625,76.18900299072266,74.76876831054688,66.23001098632812
55,70.78062438964844,72.43418884277344,74.65936279296875,72.45835876464844,69.72599029541016,75.32215881347656,64.36039733886719,79.35746765136719,65.26983642578125,65.04080200195312,72.48710632324219,63.59334182739258,76.22752380371094,74.55003356933594,66.05210876464844
56,71.14295196533203,72.61942291259766,74.8724136352539,72.75358581542969,69.97213745117188,75.5733871459961,64.75920104980469,79.64837646484375,65.76628875732422,65.35302734375,72.73762512207031,63.72017288208008,76.41844177246094,74.93180847167969,66.31571197509766
57,71.00167083740234,72.46145629882812,74.69459533691406,72.46080780029297,69.77366638183594,75.45227813720703,65.42394256591797,79.24818420410156,65.77532958984375,65.17442321777344,72.60978698730469,63.47348403930664,76.18711853027344,74.74755096435547,66.15725708007812
58,70.96995544433594,72.50325012207031,74.73475646972656,72.5811996459961,69.81564331054688,75.47040557861328,64.94181823730469,79.288818359375,65.63267517089844,65.19971466064453,72.6590576171875,63.68211364746094,76.2383804321289,74.72989654541016,66.10310363769531
59,70.66203308105469,72.27202606201172,74.5350341796875,72.28789520263672,69.57981872558594,75.1452407836914,64.57316589355469,79.14253234863281,65.27236938476562,64.93569946289062,72.33291625976562,63.34651947021485,76.08192443847656,74.4776382446289,65.95220947265625
60,70.93478393554688,72.44786834716797,74.70011138916016,72.49522399902344,69.7480239868164,75.35963439941406,64.68009948730469,79.3644027709961,65.52685546875,65.14690399169922,72.53655242919922,63.40560531616211,76.20531463623047,74.68061065673828,66.12706756591797
61,70.46149444580078,72.0633773803711,74.40060424804688,72.23414611816406,69.49746704101562,74.9886474609375,64.53587341308594,79.07617950439453,65.26546478271484,64.86965942382812,72.18092346191406,63.39989471435547,75.94549560546875,74.1746597290039,65.66786193847656
62,71.03573608398438,72.57109832763672,74.814697265625,72.5957260131836,69.86569213867188,75.56318664550781,65.09107208251953,79.39742279052734,65.70166778564453,65.26995086669922,72.73178100585938,63.806114196777344,76.28036499023438,74.75189971923828,66.1645278930664
63,70.77615356445312,72.47206115722656,74.7232437133789,72.41415405273438,69.66107940673828,75.39224243164062,64.093994140625,79.3870620727539,65.10127258300781,65.16295623779297,72.60623168945312,63.67999649047852,76.24122619628906,74.4786605834961,66.05119323730469
64,70.84539794921875,72.42103576660156,74.66105651855469,72.44275665283203,69.70606231689453,75.41154479980469,64.88723754882812,79.26972961425781,65.45718383789062,65.12957000732422,72.5681381225586,63.62664031982422,76.13748931884766,74.58651733398438,66.10847473144531
65,70.70552825927734,72.33558654785156,74.64813232421875,72.40025329589844,69.6676254272461,75.25373077392578,64.3843002319336,79.30149841308594,65.49271392822266,65.008544921875,72.45271301269531,63.69111251831055,76.15193176269531,74.29163360595703,65.9549331665039
66,70.76376342773438,72.32789611816406,74.58255004882812,72.34566497802734,69.6501693725586,75.22856140136719,64.5338134765625,79.15727233886719,65.36287689208984,64.99903106689453,72.39444732666016,63.559200286865234,76.12275695800781,74.49964141845703,66.04322814941406
